GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC04_EST_VC25,HC04_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28
0400000US36,36,New York,1335714,4996,692622,2296,243143,4438,287139,2117,1190540,7170,629379,4061,209501,4662,244067,3881,80.6,0.6,75.2,0.8,88.6,1.2,88.2,1.1,19.4,0.6,24.8,0.8,11.4,1.2,11.8,1.1,145174,6327,63243,3789,33642,2850,43072,3620,684827,3126,355326,1336,122311,2983,147722,1379,0.5,0.1,0.4,0.1,0.6,0.3,0.7,0.3,650887,3490,337296,1539,120832,3284,139417,1262,1.2,0.2,1.1,0.3,1.1,0.5,1.9,0.5,1.5,0.2,0.7,0.2,2.8,0.7,2.8,0.8,1201226,6122,606493,4545,225087,4258,272201,2168,58.8,0.9,71.7,1.1,33.9,1.7,43.5,2.0,7.8,0.4,6.8,0.6,9.7,1.2,9.3,1.1,31.4,1.0,19.1,1.0,55.3,1.8,45.4,1.9,2.0,0.3,2.4,0.4,1.1,0.4,1.8,0.5,1083744,7523,561902,5681,196690,4306,233670,3588,5.6,0.4,4.3,0.5,8.5,1.0,7.7,1.1,31.1,0.7,34.0,1.0,26.8,1.6,31.9,1.9
0400000US37,37,North Carolina,663891,8665,380546,4863,172762,4971,68795,4154,577494,7825,338379,5067,147984,4807,54180,4251,88.9,0.7,86.5,1.1,92.4,1.4,92.5,2.7,11.1,0.7,13.5,1.1,7.6,1.4,7.5,2.7,86397,6163,42167,4144,24778,3116,14615,2689,335898,7191,194105,3495,87179,3910,35245,3285,0.8,0.3,0.8,0.3,0.4,0.3,1.4,1.1,327993,6686,186441,3992,85583,3494,33550,3165,1.7,0.4,1.7,0.5,0.5,0.3,4.6,2.4,2.6,0.6,1.2,0.5,3.7,1.3,6.7,2.8,595741,7868,338248,5013,154668,4587,65874,4135,57.1,1.4,65.4,1.8,35.5,2.4,64.5,4.3,8.2,0.9,9.0,1.2,7.2,1.6,7.4,2.2,31.3,1.2,22.0,1.6,55.0,2.7,24.3,3.9,3.3,0.6,3.7,0.6,2.3,1.0,3.8,1.7,540206,8915,310999,5248,140315,5278,55300,3859,5.9,0.7,5.0,0.8,6.1,1.2,10.4,3.0,36.0,1.3,37.5,1.9,33.4,2.1,38.7,4.3
0400000US39,39,Ohio,802732,4317,609899,2212,122742,3266,32384,2266,714949,5497,544315,3726,107433,3381,28252,2339,85.9,0.5,85.0,0.7,89.3,1.4,89.4,2.3,14.1,0.5,15.0,0.7,10.7,1.4,10.6,2.3,87783,4536,65584,3685,15309,1910,4132,1010,411331,3382,313835,1736,63013,2405,16435,1771,0.5,0.1,0.6,0.2,0.3,0.3,N,N,391401,3295,296064,1862,59729,2165,15949,1717,1.1,0.2,1.3,0.3,0.6,0.5,N,N,2.5,0.4,2.0,0.4,4.7,1.3,4.5,3.2,729169,5109,553861,3079,111789,3246,29901,2144,60.1,1.0,67.5,1.2,27.5,2.3,43.9,5.1,8.2,0.6,8.5,0.7,6.7,1.7,9.9,3.2,28.2,1.0,20.4,1.0,62.6,3.0,42.6,5.2,3.6,0.5,3.6,0.6,3.2,0.9,3.6,1.9,642437,6550,486022,4677,100466,3454,26439,2374,4.1,0.4,3.7,0.4,6.5,1.1,5.3,2.4,43.2,0.9,44.2,1.0,38.1,2.7,44.2,4.1
0400000US40,40,Oklahoma,264356,4058,155254,2157,26144,1829,29900,1611,226672,3813,134632,2005,22437,1967,24489,1797,91.6,0.8,90.1,1.2,94.3,2.5,94.3,1.7,8.4,0.8,9.9,1.2,5.7,2.5,5.7,1.7,37684,2352,20622,1871,3707,818,5411,963,137459,3366,81422,2017,12705,1270,16604,1263,1.5,0.5,1.6,0.6,N,N,2.1,2.0,126897,2812,73832,1287,13439,1331,13296,1209,3.3,0.7,2.6,0.6,N,N,7.3,4.0,3.1,0.7,2.7,0.9,6.0,3.4,3.8,2.2,241240,4088,140168,2298,23611,1944,27801,1549,60.9,1.5,64.9,1.9,34.8,6.2,59.8,4.8,9.4,1.1,9.6,1.4,9.0,3.8,10.2,3.6,25.8,1.3,20.9,1.6,50.5,6.6,28.6,4.7,3.9,0.7,4.6,0.9,5.7,3.6,1.4,0.9,214070,4033,124758,2410,21731,1888,23676,1582,6.0,0.8,4.9,0.8,9.4,3.0,7.0,2.7,41.8,1.6,42.9,2.2,41.5,5.8,43.6,4.9
0400000US41,41,Oregon,247713,3678,171466,1694,6039,1291,43432,2161,214581,4055,150389,2703,4873,1080,35945,2422,89.6,1.1,89.3,1.4,86.6,9.7,92.9,3.3,10.4,1.1,10.7,1.4,13.4,9.7,7.1,3.3,33132,2807,21077,2387,1166,623,7487,1628,129194,2792,89488,1361,2715,920,22384,1406,0.8,0.4,0.6,0.3,N,N,0.7,1.0,118519,2675,81978,1220,3324,938,21048,1856,1.5,0.6,1.3,0.6,N,N,3.0,2.0,1.5,0.6,1.2,0.7,N,N,3.3,2.1,229086,3858,157052,2077,5640,1256,42642,2229,63.3,2.2,65.9,2.9,43.8,11.6,60.2,4.8,9.5,1.1,8.6,1.4,11.4,9.2,12.9,4.0,22.4,1.9,20.2,2.3,44.9,13.0,23.5,4.4,4.8,0.9,5.3,1.1,0.0,3.0,3.4,1.9,201199,4983,139195,2627,4943,1383,34718,2801,4.9,0.8,4.3,1.0,12.5,8.0,4.7,2.4,37.3,1.8,38.2,2.1,26.5,9.9,40.4,5.5
0400000US42,42,Pennsylvania,894468,4447,647204,1323,129487,3268,71724,2474,796644,5367,584078,2849,109773,3301,59650,2324,79.7,0.7,79.1,0.7,81.9,2.0,85.2,2.1,20.3,0.7,20.9,0.7,18.1,2.0,14.8,2.1,97824,3830,63126,2898,19714,2348,12074,1764,456833,3656,330356,897,66513,2637,37410,2067,0.7,0.2,0.6,0.2,0.9,0.5,0.3,0.3,437635,3557,316848,975,62974,2250,34314,1975,0.6,0.2,0.4,0.1,0.7,0.7,1.9,1.3,1.9,0.3,1.2,0.3,4.7,1.4,3.9,2.2,775037,5086,561019,4043,111274,3128,65299,2551,62.8,0.9,71.3,1.0,27.9,3.0,45.5,3.7,7.6,0.6,7.5,0.6,7.5,1.4,9.1,1.8,26.8,0.9,18.3,0.9,62.5,3.1,42.9,3.8,2.7,0.4,2.9,0.4,2.1,0.7,2.5,1.6,730158,7093,527989,3962,106812,3994,58736,2929,4.3,0.4,2.8,0.3,9.8,1.9,7.8,2.1,40.4,0.9,43.1,1.0,32.1,2.3,35.5,3.2
0400000US44,44,Rhode Island,78058,1675,52435,1056,5453,965,13526,495,70113,2054,46951,1466,4966,931,12387,672,74.9,2.3,72.5,3.3,80.6,8.5,84.1,4.6,25.1,2.3,27.5,3.3,19.4,8.5,15.9,4.6,7945,1575,5484,1301,487,279,1139,436,38514,1191,26293,809,2455,602,6775,299,0.7,0.6,N,N,N,N,N,N,39544,1098,26142,770,2998,649,6751,353,0.5,0.5,N,N,N,N,N,N,2.3,1.3,1.1,1.0,N,N,5.8,5.5,62100,1771,41815,1430,4401,918,11136,564,52.5,3.8,59.6,4.8,41.8,13.6,38.8,9.4,10.5,2.4,7.9,2.5,8.7,9.6,20.4,9.9,33.4,3.9,28.1,4.8,46.1,15.0,40.2,9.2,3.6,1.5,4.5,2.1,3.4,3.9,0.6,0.7,64101,2128,43266,1604,4153,807,11405,876,4.2,1.5,4.9,2.1,N,N,2.9,1.7,48.1,3.4,48.3,4.1,61.0,10.6,47.3,8.7
0400000US45,45,South Carolina,326831,5570,183641,3032,113281,4177,17421,3048,277579,4536,160910,3055,92061,3504,13179,2315,88.9,1.0,85.9,1.5,93.5,1.4,91.7,4.6,11.1,1.0,14.1,1.5,6.5,1.4,8.3,4.6,49252,4406,22731,2798,21220,2703,4242,1575,170352,3964,96213,2617,59433,2750,9558,2206,1.0,0.4,0.8,0.6,0.5,0.5,N,N,156479,4301,87428,1948,53848,3016,7863,1631,0.8,0.4,0.8,0.4,0.5,0.4,N,N,3.0,0.8,3.1,1.1,3.4,1.4,N,N,287305,5885,159028,3732,101502,4358,15673,3006,53.4,1.7,66.1,2.4,31.1,2.6,54.5,9.9,7.8,1.1,7.8,1.5,7.7,2.0,14.7,9.3,35.5,1.7,22.1,2.0,59.0,3.2,26.7,7.0,3.3,0.7,4.1,1.1,2.2,1.0,4.1,4.6,265706,5990,147090,4225,94270,4153,14407,2712,7.1,0.9,5.8,1.1,9.2,1.7,5.4,4.0,36.0,2.0,36.1,2.6,35.7,3.1,38.4,8.9
0400000US47,47,Tennessee,431921,5553,298314,3489,92966,2400,21623,2399,372243,5787,260608,4358,78695,2324,15601,2071,84.0,1.0,82.2,1.2,91.5,1.6,90.1,3.8,16.0,1.0,17.8,1.2,8.5,1.6,9.9,3.8,59678,5127,37706,3951,14271,2388,6022,1400,223374,4211,155229,2566,46444,1766,11605,1817,1.4,0.5,1.0,0.4,0.6,0.6,10.6,6.6,208547,4131,143085,2511,46522,2190,10018,1791,1.9,0.5,1.8,0.6,1.0,0.7,8.9,5.4,2.7,0.7,2.6,0.7,2.6,1.3,5.5,4.6,398925,5561,277530,4039,83877,2719,20658,2284,59.5,1.6,68.8,1.6,27.4,3.9,56.7,8.5,7.9,0.8,8.1,1.0,6.4,1.7,10.7,4.5,29.9,1.3,20.3,1.4,63.7,4.3,27.8,7.7,2.7,0.5,2.8,0.6,2.5,1.3,4.8,3.2,345915,6611,241337,4333,74294,3069,16776,1982,5.6,0.8,4.5,0.9,8.8,2.0,7.8,4.4,38.8,1.5,39.8,1.7,36.5,3.5,39.3,6.6
0400000US48,48,Texas,1890217,9231,683335,5282,249227,5703,862604,4901,1631511,12661,606339,5863,215011,5540,720261,8624,92.7,0.3,88.6,0.8,96.1,0.7,95.3,0.4,7.3,0.3,11.4,0.8,3.9,0.7,4.7,0.4,258706,9842,76996,5543,34216,3313,142343,7890,982786,6994,354902,3782,132146,4501,446923,4039,1.2,0.2,0.9,0.3,0.8,0.4,1.6,0.4,907431,6693,328433,4162,117081,3735,415681,3776,2.6,0.3,1.6,0.3,1.1,0.5,3.8,0.5,4.1,0.4,1.8,0.4,4.4,1.1,6.1,0.8,1782775,9487,627431,5981,227759,5993,840138,5560,61.7,0.7,69.5,1.3,36.1,2.3,61.8,1.1,7.6,0.5,7.5,0.8,7.8,1.2,7.9,0.7,27.7,0.6,18.6,1.0,54.4,2.1,28.3,1.1,2.9,0.3,4.3,0.6,1.7,0.5,2.0,0.4,1507388,12620,540730,7944,199951,5854,690281,7669,6.5,0.4,4.5,0.6,7.4,1.0,8.1,0.7,34.4,0.8,37.2,1.2,31.4,1.9,34.0,1.2
